 time            time            time            N1              time            N2              time            N3              time            N4             
 1.05806896e-05  1.05806896e-05  1.05806896e-05  3.90899711e-01  1.05806896e-05  1.79986554e+00  1.05806896e-05  1.91205698e-07  1.05806896e-05  1.92529169e-07 
 1.06500093e-05  1.06500093e-05  1.06500093e-05  1.27035544e-01  1.06500093e-05  1.80014599e+00  1.06500093e-05  2.38650801e-07  1.06500093e-05  2.32865110e-07 
 1.07315336e-05  1.07315336e-05  1.07315336e-05  4.04625672e-02  1.07315336e-05  1.79984508e+00  1.07315336e-05  1.98479933e-07  1.07315336e-05  2.07258501e-07 
 1.08163189e-05  1.08163189e-05  1.08163189e-05  1.28128580e-02  1.08163189e-05  1.80005279e+00  1.08163189e-05  2.33078428e-07  1.08163189e-05  2.21949762e-07 
 1.09352341e-05  1.09352341e-05  1.09352341e-05  1.15680167e-03  1.09352341e-05  1.52282219e+00  1.09352341e-05  2.02566517e-07  1.09352341e-05  2.15086272e-07 
 1.10615936e-05  1.10615936e-05  1.10615936e-05  1.01421344e-04  1.10615936e-05  1.62681719e-04  1.10615936e-05  2.30208425e-07  1.10615936e-05  2.16535203e-07 
 1.11556884e-05  1.11556884e-05  1.11556884e-05 -2.43817197e-05  1.11556884e-05 -1.01159666e-04  1.11556884e-05  2.05356529e-07  1.11556884e-05  2.20334954e-07 
 1.12448467e-05  1.12448467e-05  1.12448467e-05  3.12656304e-05  1.12448467e-05  1.01517569e-04  1.12448467e-05  2.27444541e-07  1.12448467e-05  2.11308284e-07 
 1.13843725e-05  1.13843725e-05  1.13843725e-05 -2.83636097e-05  1.13843725e-05 -1.02523634e-04  1.13843725e-05  2.07331311e-07  1.13843725e-05  2.24083850e-07 
 1.15730046e-05  1.15730046e-05  1.15730046e-05  2.91464416e-05  1.15730046e-05  1.02757189e-04  1.15730046e-05  2.26300242e-07  1.15730046e-05  2.09123286e-07 
 1.18649868e-05  1.18649868e-05  1.18649868e-05 -2.82163478e-05  1.18649868e-05 -1.03042932e-04  1.18649868e-05  2.08041575e-07  1.18649868e-05  2.25458230e-07 
 1.24489512e-05  1.24489512e-05  1.24489512e-05  2.90614647e-05  1.24489512e-05  1.03082223e-04  1.24489512e-05  2.25912335e-07  1.24489512e-05  2.08367221e-07 
 1.34868576e-05  1.34868576e-05  1.34868576e-05 -2.81365555e-05  1.34868576e-05 -1.03043358e-04  1.34868576e-05  2.08231883e-07  1.34868576e-05  2.25833527e-07 
 1.49135956e-05  1.49135956e-05  1.49135956e-05  2.90424669e-05  1.49135956e-05  1.03098163e-04  1.49135956e-05  2.25795629e-07  1.49135956e-05  2.08139293e-07 
 1.63926646e-05  1.63926646e-05  1.63926646e-05  1.79991647e+00  1.63926646e-05 -1.04429493e-04  1.63926646e-05  2.08328015e-07  1.63926646e-05  2.26023780e-07 
 1.65402113e-05  1.65402113e-05  1.65402113e-05  1.80000024e+00  1.65402113e-05  4.64543760e-07  1.65402113e-05  2.16930324e-07  1.65402113e-05  2.16820101e-07 
 1.68353048e-05  1.68353048e-05  1.68353048e-05  1.80000400e+00  1.68353048e-05  1.15182077e-06  1.68353048e-05  2.17138315e-07  1.68353048e-05  2.17238570e-07 
 1.72448315e-05  1.72448315e-05  1.72448315e-05  1.19683272e+00  1.72448315e-05  4.66558942e-03  1.72448315e-05  2.16950728e-07  1.72448315e-05  2.16850931e-07 
 1.77664164e-05  1.77664164e-05  1.77664164e-05  3.11642270e-05  1.77664164e-05  1.79995393e+00  1.77664164e-05  2.17128703e-07  1.77664164e-05  2.17222079e-07 
 1.80852073e-05  1.80852073e-05  1.80852073e-05 -6.27572321e-07  1.80852073e-05  1.80004688e+00  1.80852073e-05  2.16967373e-07  1.80852073e-05  2.16875733e-07 
 1.83763552e-05  1.83763552e-05  1.83763552e-05  1.48428662e-06  1.83763552e-05  1.69692126e-05  1.83763552e-05  2.17109628e-07  1.83763552e-05  2.17193385e-07 
 1.85569177e-05  1.85569177e-05  1.85569177e-05 -8.15459976e-07  1.85569177e-05 -1.45916120e-05  1.85569177e-05  2.16987233e-07  1.85569177e-05  2.16908004e-07 
 1.87522362e-05  1.87522362e-05  1.87522362e-05  1.60900896e-06  1.87522362e-05  1.59968821e-05  1.87522362e-05  2.17132539e-07  1.87522362e-05  2.17202928e-07 
 1.89910505e-05  1.89910505e-05  1.89910505e-05 -8.68099240e-07  1.89910505e-05 -1.46023884e-05  1.89910505e-05  2.16934213e-07  1.89910505e-05  2.16865719e-07 
 1.92892909e-05  1.92892909e-05  1.92892909e-05  1.69330669e-06  1.92892909e-05  1.57490214e-05  1.92892909e-05  2.17188666e-07  1.92892909e-05  2.17251094e-07 
 1.98857717e-05  1.98857717e-05  1.98857717e-05 -8.63103264e-07  1.98857717e-05 -1.43431465e-05  1.98857717e-05  2.16904485e-07  1.98857717e-05  2.16841128e-07 
 2.06763294e-05  2.06763294e-05  2.06763294e-05  1.72390623e-06  2.06763294e-05  1.56414684e-05  2.06763294e-05  2.17216149e-07  2.06763294e-05  2.17275652e-07 
 2.21248379e-05  2.21248379e-05  2.21248379e-05 -9.12952836e-07  2.21248379e-05 -1.42166046e-05  2.21248379e-05  2.16911145e-07  2.21248379e-05  2.16849295e-07 
 2.34305151e-05  2.34305151e-05  2.34305151e-05  1.79998186e+00  2.34305151e-05  1.55182467e-05  2.34305151e-05  2.17254506e-07  2.34305151e-05  2.17311666e-07 
 2.44404528e-05  2.44404528e-05  2.44404528e-05  1.80002386e+00  2.44404528e-05 -1.42926636e-05  2.44404528e-05  2.16938718e-07  2.44404528e-05  2.16876930e-07 
 2.50816076e-05  2.50816076e-05  2.50816076e-05  6.78480924e-06  2.50816076e-05  1.88597314e-03  2.50816076e-05  2.17301550e-07  2.50816076e-05  2.17354572e-07 
 2.55840929e-05  2.55840929e-05  2.55840929e-05 -6.47160459e-06  2.55840929e-05  1.79991751e+00  2.55840929e-05  2.16964544e-07  2.55840929e-05  2.16904075e-07 
 2.59926256e-05  2.59926256e-05  2.59926256e-05  7.17846778e-06  2.59926256e-05  1.80008478e+00  2.59926256e-05  2.17336344e-07  2.59926256e-05  2.17383672e-07 
 2.62602167e-05  2.62602167e-05  2.62602167e-05 -6.90934611e-06  2.62602167e-05  2.47948509e-06  2.62602167e-05  2.16992873e-07  2.62602167e-05  2.16935682e-07 
 2.64446684e-05  2.64446684e-05  2.64446684e-05  7.73906460e-06  2.64446684e-05 -2.25778108e-06  2.64446684e-05  2.17325047e-07  2.64446684e-05  2.17363856e-07 
 2.66241398e-05  2.66241398e-05  2.66241398e-05 -7.44154505e-06  2.66241398e-05  3.03913673e-06  2.66241398e-05  2.17140044e-07  2.66241398e-05  2.17089552e-07 
 2.68539434e-05  2.68539434e-05  2.68539434e-05  8.17129351e-06  2.68539434e-05 -2.64890259e-06  2.68539434e-05  2.17149762e-07  2.68539434e-05  2.17180207e-07 
 2.70710726e-05  2.70710726e-05  2.70710726e-05 -7.58268405e-06  2.70710726e-05  3.35636226e-06  2.70710726e-05  2.17405388e-07  2.70710726e-05  2.17358427e-07 
 2.75053311e-05  2.75053311e-05  2.75053311e-05  8.32025893e-06  2.75053311e-05 -2.84507757e-06  2.75053311e-05  2.16997037e-07  2.75053311e-05  2.17019809e-07 
 2.82478386e-05  2.82478386e-05  2.82478386e-05 -7.51584353e-06  2.82478386e-05  3.54340554e-06  2.82478386e-05  2.17636871e-07  2.82478386e-05  2.17582968e-07 
 2.93855316e-05  2.93855316e-05  2.93855316e-05  8.36854471e-06  2.93855316e-05 -2.68392332e-06  2.93855316e-05  2.17223928e-07  2.93855316e-05  2.17220805e-07 
 3.12407218e-05  3.12407218e-05  3.12407218e-05 -7.56014109e-06  3.12407218e-05  3.53883565e-06  3.12407218e-05  2.18733875e-07  3.12407218e-05  2.18596960e-07 
 3.28856506e-05  3.28856506e-05  3.28856506e-05  1.80000111e+00  3.28856506e-05 -2.72940715e-06  3.28856506e-05  2.19729905e-07  3.28856506e-05  2.19602481e-07 
 3.41889690e-05  3.41889690e-05  3.41889690e-05  1.79906498e+00  3.41889690e-05  1.79966092e+00  3.41889690e-05  2.21765478e-07  3.41889690e-05  2.21589161e-07 
 3.49791076e-05  3.49791076e-05  3.49791076e-05  1.16366625e-05  3.49791076e-05  1.80000887e+00  3.49791076e-05  2.21866547e-07  3.49791076e-05  2.21743360e-07 
 3.56402836e-05  3.56402836e-05  3.56402836e-05 -1.12919721e-05  3.56402836e-05  1.76330349e+00  3.56402836e-05  2.23334677e-07  3.56402836e-05  2.23171633e-07 
 3.61857239e-05  3.61857239e-05  3.61857239e-05  1.19953735e-05  3.61857239e-05  1.73503491e-05  3.61857239e-05  2.22919170e-07  3.61857239e-05  2.22808516e-07 
 3.65252489e-05  3.65252489e-05  3.65252489e-05 -1.16933748e-05  3.65252489e-05 -1.70246637e-05  3.65252489e-05  2.24317375e-07  3.65252489e-05  2.24165687e-07 
 3.68380601e-05  3.68380601e-05  3.68380601e-05  1.24490207e-05  3.68380601e-05  1.76025030e-05  3.68380601e-05  2.23303052e-07  3.68380601e-05  2.23198359e-07 
 3.71510184e-05  3.71510184e-05  3.71510184e-05 -1.19030927e-05  3.71510184e-05 -1.71678298e-05  3.71510184e-05  2.25054801e-07  3.71510184e-05  2.24911031e-07 
 3.75046071e-05  3.75046071e-05  3.75046071e-05  1.26383454e-05  3.75046071e-05  1.77448133e-05  3.75046071e-05  2.23698353e-07  3.75046071e-05  2.23598831e-07 
 3.80897093e-05  3.80897093e-05  3.80897093e-05 -1.18655764e-05  3.80897093e-05 -1.70878825e-05  3.80897093e-05  2.25948043e-07  3.80897093e-05  2.25812588e-07 
 3.91706364e-05  3.91706364e-05  3.91706364e-05  1.27052141e-05  3.91706364e-05  1.78617981e-05  3.91706364e-05  2.24952114e-07  3.91706364e-05  2.24861248e-07 
 4.13324908e-05  4.13324908e-05  4.13324908e-05 -1.18842473e-05  4.13324908e-05 -1.70608398e-05  4.13324908e-05  2.28462839e-07  4.13324908e-05  2.28333925e-07 
 4.31483057e-05  4.31483057e-05  4.31483057e-05  1.80001264e+00  4.31483057e-05  1.80401678e-05  4.31483057e-05  2.27926801e-07  4.31483057e-05  2.27836539e-07 
 4.45915773e-05  4.45915773e-05  4.45915773e-05  1.79365074e+00  4.45915773e-05  1.79994087e+00  4.45915773e-05  2.30916084e-07  4.45915773e-05  2.30790044e-07 
 4.55023146e-05  4.55023146e-05  4.55023146e-05  1.48485343e-05  4.55023146e-05  1.73962529e+00  4.55023146e-05  2.29582700e-07  4.55023146e-05  2.29497020e-07 
 4.61322263e-05  4.61322263e-05  4.61322263e-05 -1.45446998e-05  4.61322263e-05 -1.44674168e-05  4.61322263e-05  2.32050504e-07  4.61322263e-05  2.31929414e-07 
 4.65737001e-05  4.65737001e-05  4.65737001e-05  1.52975512e-05  4.65737001e-05  1.48297744e-05  4.65737001e-05  2.30216042e-07  4.65737001e-05  2.30133481e-07 
 4.69822631e-05  4.69822631e-05  4.69822631e-05 -1.50025921e-05  4.69822631e-05 -1.41787642e-05  4.69822631e-05  2.32702745e-07  4.69822631e-05  2.32585434e-07 
 4.74861287e-05  4.74861287e-05  4.74861287e-05  1.56881495e-05  4.74861287e-05  1.46302451e-05  4.74861287e-05  2.30700654e-07  4.74861287e-05  2.30620751e-07 
 4.79723860e-05  4.79723860e-05  4.79723860e-05 -1.50565975e-05  4.79723860e-05 -1.39759242e-05  4.79723860e-05  2.33382062e-07  4.79723860e-05  2.33268849e-07 
 4.87541628e-05  4.87541628e-05  4.87541628e-05  1.58202384e-05  4.87541628e-05  1.46892559e-05  4.87541628e-05  2.31362321e-07  4.87541628e-05  2.31285934e-07 
 5.02715854e-05  5.02715854e-05  5.02715854e-05 -1.49968460e-05  5.02715854e-05 -1.38611253e-05  5.02715854e-05  2.34591891e-07  5.02715854e-05  2.34481600e-07 
 5.28543417e-05  5.28543417e-05  5.28543417e-05  2.20089475e-05  5.28543417e-05  1.46720890e-05  5.28543417e-05  2.32896824e-07  5.28543417e-05  2.32780740e-07 
 5.28922953e-05  5.28922953e-05  5.28922953e-05  6.09672128e-06  5.28922953e-05  3.67104229e-07  5.28922953e-05  2.34225052e-07  5.28922953e-05  2.34089037e-07 
 5.29682024e-05  5.29682024e-05  5.29682024e-05  2.31490078e-05  5.29682024e-05  3.16826546e-07  5.29682024e-05  2.34040533e-07  5.29682024e-05  2.33900173e-07 
 5.31200166e-05  5.31200166e-05  5.31200166e-05  3.88057994e-03  5.31200166e-05  3.79105743e-07  5.31200166e-05  2.34257249e-07  5.31200166e-05  2.34111288e-07 
 5.33113966e-05  5.33113966e-05  5.33113966e-05  1.79987182e+00  5.33113966e-05  3.22663795e-07  5.33113966e-05  2.34082740e-07  5.33113966e-05  2.33927515e-07 
 5.34480852e-05  5.34480852e-05  5.34480852e-05  1.80012766e+00  5.34480852e-05  3.76416579e-07  5.34480852e-05  2.34349789e-07  5.34480852e-05  2.34185660e-07 
 5.35928560e-05  5.35928560e-05  5.35928560e-05  2.87679338e-05  5.35928560e-05  3.37626977e-07  5.35928560e-05  2.34003221e-07  5.35928560e-05  2.33832347e-07 
 5.36701928e-05  5.36701928e-05  5.36701928e-05 -1.04949163e-05  5.36701928e-05  3.84857735e-07  5.36701928e-05  2.34471835e-07  5.36701928e-05  2.34291048e-07 
 5.37592907e-05  5.37592907e-05  5.37592907e-05  1.16979567e-05  5.37592907e-05  3.59156292e-07  5.37592907e-05  2.34041214e-07  5.37592907e-05  2.33862308e-07 
 5.38586795e-05  5.38586795e-05  5.38586795e-05 -1.09542885e-05  5.38586795e-05  4.02195990e-07  5.38586795e-05  2.34473588e-07  5.38586795e-05  2.34280114e-07 
 5.40574571e-05  5.40574571e-05  5.40574571e-05  1.18885138e-05  5.40574571e-05  5.04044979e-07  5.40574571e-05  2.33973579e-07  5.40574571e-05  2.33773222e-07 
 5.44279064e-05  5.44279064e-05  5.44279064e-05 -1.09629202e-05  5.44279064e-05  7.22290556e-05  5.44279064e-05  2.34591592e-07  5.44279064e-05  2.34349513e-07 
 5.44789592e-05  5.44789592e-05  5.44789592e-05  3.31658922e-07  5.44789592e-05  2.06827143e-04  5.44789592e-05  2.34159682e-07  5.44789592e-05  2.33916745e-07 
 5.45810648e-05  5.45810648e-05  5.45810648e-05  3.79022079e-07  5.45810648e-05  1.90170087e-03  5.45810648e-05  2.34417112e-07  5.45810648e-05  2.34162795e-07 
 5.47852760e-05  5.47852760e-05  5.47852760e-05  3.65765290e-07  5.47852760e-05  1.02508885e+00  5.47852760e-05  2.34102316e-07  5.47852760e-05  2.33825207e-07 
 5.49809872e-05  5.49809872e-05  5.49809872e-05  3.87016558e-07  5.49809872e-05  1.80000397e+00  5.49809872e-05  2.34427262e-07  5.49809872e-05  2.34126275e-07 
 5.51314504e-05  5.51314504e-05  5.51314504e-05  3.94306941e-07  5.51314504e-05  1.79999526e+00  5.51314504e-05  2.34090520e-07  5.51314504e-05  2.33765713e-07 
 5.52911206e-05  5.52911206e-05  5.52911206e-05  3.80654398e-07  5.52911206e-05  1.13925556e-04  5.52911206e-05  2.34395590e-07  5.52911206e-05  2.34045827e-07 
 5.53708922e-05  5.53708922e-05  5.53708922e-05  4.21126930e-07  5.53708922e-05 -6.03177027e-05  5.53708922e-05  2.34039201e-07  5.53708922e-05  2.33668398e-07 
 5.54642620e-05  5.54642620e-05  5.54642620e-05  3.62466610e-07  5.54642620e-05  6.27892078e-05  5.54642620e-05  2.34477468e-07  5.54642620e-05  2.34103868e-07 
 5.55660947e-05  5.55660947e-05  5.55660947e-05  4.41672724e-07  5.55660947e-05 -6.08346977e-05  5.55660947e-05  2.34026827e-07  5.55660947e-05  2.33624514e-07 
 5.57697602e-05  5.57697602e-05  5.57697602e-05  3.56666350e-07  5.57697602e-05  6.27684347e-05  5.57697602e-05  2.34305533e-07  5.57697602e-05  2.33875126e-07 
 5.61351420e-05  5.61351420e-05  5.61351420e-05  4.52101594e-07  5.61351420e-05 -6.08505815e-05  5.61351420e-05  2.34086221e-07  5.61351420e-05  2.33564602e-07 
 5.67992806e-05  5.67992806e-05  5.67992806e-05  3.51557164e-07  5.67992806e-05  6.26985032e-05  5.67992806e-05  2.34048742e-07  5.67992806e-05  2.33351845e-07 
 5.79791021e-05  5.79791021e-05  5.79791021e-05  4.27232507e-07  5.79791021e-05 -6.07732453e-05  5.79791021e-05  2.33775997e-07  5.79791021e-05  2.32588393e-07 
 5.91158577e-05  5.91158577e-05  5.91158577e-05  1.04417759e-05  5.91158577e-05  6.26158814e-05  5.91158577e-05  2.33499778e-07  5.91158577e-05  2.31655881e-07 
 6.04237441e-05  6.04237441e-05  6.04237441e-05  1.79997988e+00  6.04237441e-05 -6.08299583e-05  6.04237441e-05  2.33334943e-07  6.04237441e-05  2.30515440e-07 
 6.13462923e-05  6.13462923e-05  6.13462923e-05  1.80001812e+00  6.13462923e-05  6.35884375e-05  6.13462923e-05  2.33084221e-07  6.13462923e-05  2.29540912e-07 
 6.19155044e-05  6.19155044e-05  6.19155044e-05  7.39190141e-06  6.19155044e-05 -6.46481104e-05  6.19155044e-05  2.33219526e-07  6.19155044e-05  2.29218732e-07 
 6.23781019e-05  6.23781019e-05  6.23781019e-05 -6.96746494e-06  6.23781019e-05  1.80008758e+00  6.23781019e-05  2.32832392e-07  6.23781019e-05  2.28495930e-07 
 6.28182168e-05  6.28182168e-05  6.28182168e-05  7.63097238e-06  6.28182168e-05  1.79990959e+00  6.28182168e-05  2.33255466e-07  6.28182168e-05  2.28593756e-07 
 6.31508953e-05  6.31508953e-05  6.31508953e-05 -7.19291561e-06  6.31508953e-05  1.80009550e+00  6.31508953e-05  2.32554691e-07  6.31508953e-05  2.27709757e-07 
 6.34140541e-05  6.34140541e-05  6.34140541e-05  7.85627890e-06  6.34140541e-05  1.86054262e-05  6.34140541e-05  2.33518143e-07  6.34140541e-05  2.28478420e-07 
 6.35734593e-05  6.35734593e-05  6.35734593e-05 -7.49561452e-06  6.35734593e-05  4.66089858e-06  6.35734593e-05  2.31934836e-07  6.35734593e-05  2.26813341e-07 
 6.37402259e-05  6.37402259e-05  6.37402259e-05  8.20956939e-06  6.37402259e-05 -4.41761550e-06  6.37402259e-05  2.34290085e-07  6.37402259e-05  2.29053342e-07 
 6.39399927e-05  6.39399927e-05  6.39399927e-05 -7.75501246e-06  6.39399927e-05  5.02003819e-06  6.39399927e-05  2.31096626e-07  6.39399927e-05  2.25757256e-07 
 6.41497717e-05  6.41497717e-05  6.41497717e-05  8.42049840e-06  6.41497717e-05 -4.68972669e-06  6.41497717e-05  2.34951233e-07  6.41497717e-05  2.29482944e-07 
 6.45693297e-05  6.45693297e-05  6.45693297e-05 -7.76460517e-06  6.45693297e-05  5.26729194e-06  6.45693297e-05  2.30510950e-07  6.45693297e-05  2.24832476e-07 
 6.52876268e-05  6.52876268e-05  6.52876268e-05  8.49509027e-06  6.52876268e-05 -4.74827808e-06  6.52876268e-05  2.35070866e-07  6.52876268e-05  2.29052940e-07 
 6.61626844e-05  6.61626844e-05  6.61626844e-05 -7.68059102e-06  6.61626844e-05  5.46121278e-06  6.61626844e-05  2.30153039e-07  6.61626844e-05  2.23805842e-07 
 6.77900344e-05  6.77900344e-05  6.77900344e-05  8.50633505e-06  6.77900344e-05 -4.81529999e-06  6.77900344e-05  2.34880853e-07  6.77900344e-05  2.28012445e-07 
 6.93612857e-05  6.93612857e-05  6.93612857e-05 -7.72311013e-06  6.93612857e-05  5.50831785e-06  6.93612857e-05  2.29675557e-07  6.93612857e-05  2.22439865e-07 
 6.97540985e-05  6.97540985e-05  6.97540985e-05  4.75768105e-07  6.97540985e-05  3.19291763e-07  6.97540985e-05  2.32179332e-07  6.97540985e-05  2.24859329e-07 
 7.05397242e-05  7.05397242e-05  7.05397242e-05  1.79996497e+00  7.05397242e-05  3.84467202e-07  7.05397242e-05  2.32026001e-07  7.05397242e-05  2.24520852e-07 
 7.10411922e-05  7.10411922e-05  7.10411922e-05  1.80003676e+00  7.10411922e-05  5.42348242e-07  7.10411922e-05  2.32033541e-07  7.10411922e-05  2.24466690e-07 
 7.14467598e-05  7.14467598e-05  7.14467598e-05  1.02367957e-05  7.14467598e-05  1.04551479e-04  7.14467598e-05  2.31937211e-07  7.14467598e-05  2.24268097e-07 
 7.17297447e-05  7.17297447e-05  7.17297447e-05 -9.77698291e-06  7.17297447e-05  8.11811130e-02  7.17297447e-05  2.31956852e-07  7.17297447e-05  2.24239387e-07 
 7.20107281e-05  7.20107281e-05  7.20107281e-05  1.06701465e-05  7.20107281e-05  1.79992329e+00  7.20107281e-05  2.31835684e-07  7.20107281e-05  2.23998488e-07 
 7.22287666e-05  7.22287666e-05  7.22287666e-05 -1.01507450e-05  7.22287666e-05  1.80007673e+00  7.22287666e-05  2.31939515e-07  7.22287666e-05  2.24204777e-07 
 7.24210788e-05  7.24210788e-05  7.24210788e-05  1.09960204e-05  7.24210788e-05  2.95936680e-05  7.24210788e-05  2.31882986e-07  7.24210788e-05  2.24069262e-07 
 7.25280279e-05  7.25280279e-05  7.25280279e-05 -1.05288463e-05  7.25280279e-05 -1.74457797e-05  7.25280279e-05  2.31803096e-07  7.25280279e-05  2.23944850e-07 
