 time            vin             Vr1             i(Vread)        hx              n1              n2              n3              n4              m1              m2              m3              m4              n.x9.xrstdp1.xr2.n1#ngap n.x9.xrstdp2.xr2.n1#ngap n.x9.xrstdp3.xr2.n1#ngap n.x9.xrstdp4.xr2.n1#ngap n.x9.xrstdp5.xr2.n1#ngap n.x9.xrstdp6.xr2.n1#ngap n.x9.xrstdp7.xr2.n1#ngap n.x9.xrstdp8.xr2.n1#ngap n.x9.xrstdp9.xr2.n1#ngap n.x9.xrstdp10.xr2.n1#ngap n.x9.xrstdp11.xr2.n1#ngap n.x9.xrstdp12.xr2.n1#ngap n.x9.xrstdp13.xr2.n1#ngap n.x9.xrstdp14.xr2.n1#ngap n.x9.xrstdp15.xr2.n1#ngap
 6.56000000e-08  1.40236686e+00  2.88609811e-03  8.06466131e-07  7.25808985e-03  2.58521663e-06  7.13782029e-07  2.62982723e-06  7.56222065e-07 -9.82016414e-07  1.19227892e-06 -9.82017893e-07  1.19211675e-06  9.39520498e-01  9.36517641e-01  9.39520756e-01  9.36517663e-01  9.65581516e-01  9.74984020e-01  9.65581508e-01  9.74984044e-01  9.39489195e-01  9.36575131e-01  9.39489195e-01  9.36575171e-01  9.65577720e-01  9.75004052e-01  9.65577721e-01 
 8.56000000e-08  1.40304620e+00  2.88609802e-03  8.06466122e-07  7.25807900e-03 -2.09375257e-06 -2.36257545e-07 -2.05954920e-06 -1.99829765e-07  1.44326752e-06 -7.14704827e-07  1.44326698e-06 -7.14544876e-07  9.39522498e-01  9.36519514e-01  9.39522756e-01  9.36519536e-01  9.65583325e-01  9.74985543e-01  9.65583317e-01  9.74985567e-01  9.39491196e-01  9.36577003e-01  9.39491195e-01  9.36577043e-01  9.65579529e-01  9.75005575e-01  9.65579530e-01 
 1.05600000e-07  1.40370579e+00  2.88609857e-03  8.06471825e-07  7.25810247e-03  2.55173287e-06  7.06864287e-07  2.59661375e-06  7.49819872e-07 -9.64025140e-07  1.17887119e-06 -9.64023436e-07  1.17871641e-06  9.39524677e-01  9.36521910e-01  9.39524935e-01  9.36521932e-01  9.65585018e-01  9.74987295e-01  9.65585009e-01  9.74987319e-01  9.39493376e-01  9.36579399e-01  9.39493375e-01  9.36579438e-01  9.65581222e-01  9.75007327e-01  9.65581223e-01 
 1.25600000e-07  1.40434562e+00  2.88609847e-03  8.06471990e-07  7.25812632e-03 -2.06069335e-06 -2.29575782e-07 -2.02552469e-06 -1.92431557e-07  1.42522898e-06 -7.01579285e-07  1.42522803e-06 -7.01425518e-07  9.39526678e-01  9.36523788e-01  9.39526937e-01  9.36523809e-01  9.65586827e-01  9.74988819e-01  9.65586818e-01  9.74988844e-01  9.39495378e-01  9.36581274e-01  9.39495377e-01  9.36581314e-01  9.65583030e-01  9.75008851e-01  9.65583032e-01 
 1.45600000e-07  1.40496570e+00  2.88609902e-03  8.06477519e-07  7.25815542e-03  2.51872081e-06  7.00046779e-07  2.56386467e-06  7.43512457e-07 -9.46302565e-07  1.16565520e-06 -9.46302770e-07  1.16549795e-06  9.39528856e-01  9.36526180e-01  9.39529115e-01  9.36526202e-01  9.65588520e-01  9.74990569e-01  9.65588511e-01  9.74990594e-01  9.39497557e-01  9.36583666e-01  9.39497556e-01  9.36583706e-01  9.65584723e-01  9.75010600e-01  9.65584725e-01 
 1.65600000e-07  1.40556603e+00  2.88609892e-03  8.06477854e-07  7.25817915e-03 -2.02810676e-06 -2.22985570e-07 -1.99198224e-06 -1.85139975e-07  1.40745736e-06 -6.88640678e-07  1.40745489e-06 -6.88484027e-07  9.39530858e-01  9.36528061e-01  9.39531117e-01  9.36528083e-01  9.65590328e-01  9.74992096e-01  9.65590319e-01  9.74992120e-01  9.39499560e-01  9.36585546e-01  9.39499558e-01  9.36585585e-01  9.65586531e-01  9.75012126e-01  9.65586532e-01 
 1.85600000e-07  1.40614661e+00  2.88609946e-03  8.06483199e-07  7.25820813e-03  2.48618428e-06  6.93323601e-07  2.53158456e-06  7.37293865e-07 -9.28843479e-07  1.15262424e-06 -9.28842744e-07  1.15246643e-06  9.39533035e-01  9.36530450e-01  9.39533294e-01  9.36530471e-01  9.65592022e-01  9.74993844e-01  9.65592013e-01  9.74993869e-01  9.39501737e-01  9.36587934e-01  9.39501736e-01  9.36587974e-01  9.65588225e-01  9.75013875e-01  9.65588227e-01 
 2.05600000e-07  1.40670743e+00  2.88609936e-03  8.06483706e-07  7.25823242e-03 -1.99597825e-06 -2.16484316e-07 -1.95891506e-06 -1.77948773e-07  1.38995007e-06 -6.75874886e-07  1.38995098e-06 -6.75721424e-07  9.39535039e-01  9.36532334e-01  9.39535297e-01  9.36532356e-01  9.65593829e-01  9.74995372e-01  9.65593820e-01  9.74995397e-01  9.39503741e-01  9.36589817e-01  9.39503740e-01  9.36589857e-01  9.65590032e-01  9.75015402e-01  9.65590033e-01 
 2.25600000e-07  1.40724851e+00  2.88609991e-03  8.06488897e-07  7.25826091e-03  2.45410878e-06  6.86698474e-07  2.49975656e-06  7.31167087e-07 -9.11639082e-07  1.13976512e-06 -9.11639577e-07  1.13961727e-06  9.39537214e-01  9.36534719e-01  9.39537473e-01  9.36534741e-01  9.65595523e-01  9.74997120e-01  9.65595515e-01  9.74997144e-01  9.39505917e-01  9.36592201e-01  9.39505916e-01  9.36592241e-01  9.65591726e-01  9.75017149e-01  9.65591728e-01 
 2.45600000e-07  1.40776985e+00  2.88609979e-03  8.06489554e-07  7.25828628e-03 -1.96430721e-06 -2.10085486e-07 -1.92630855e-06 -1.70862580e-07  1.37270448e-06 -6.63287760e-07  1.37270431e-06 -6.63138968e-07  9.39539219e-01  9.36536607e-01  9.39539477e-01  9.36536628e-01  9.65597330e-01  9.74998648e-01  9.65597321e-01  9.74998673e-01  9.39507922e-01  9.36594088e-01  9.39507921e-01  9.36594128e-01  9.65593532e-01  9.75018677e-01  9.65593534e-01 
 2.65600000e-07  1.40827145e+00  2.88610034e-03  8.06494606e-07  7.25831288e-03  2.42249309e-06  6.80168733e-07  2.46838098e-06  7.25121061e-07 -8.94692290e-07  1.12709201e-06 -8.94691658e-07  1.12694313e-06  9.39541393e-01  9.36538988e-01  9.39541651e-01  9.36539010e-01  9.65599025e-01  9.75000393e-01  9.65599016e-01  9.75000418e-01  9.39510097e-01  9.36596469e-01  9.39510096e-01  9.36596509e-01  9.65595228e-01  9.75020423e-01  9.65595229e-01 
 2.85600000e-07  1.40875331e+00  2.88610023e-03  8.06495401e-07  7.25833867e-03 -1.93308990e-06 -2.03780182e-07 -1.89417522e-06 -1.63882333e-07  1.35570640e-06 -6.50878091e-07  1.35570688e-06 -6.50731985e-07  9.39543399e-01  9.36540879e-01  9.39543657e-01  9.36540901e-01  9.65600830e-01  9.75001924e-01  9.65600822e-01  9.75001949e-01  9.39512104e-01  9.36598359e-01  9.39512102e-01  9.36598400e-01  9.65597033e-01  9.75021953e-01  9.65597034e-01 
